1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	VALIDATION	ORIGIN	CLUSTER	TABLE	CELL	NAME_COL1	NAME_COL2	ENTITY_COL1	PREDICATE	ENTITY_COL2
0	4	12	6	2	36	2	3	12	12	1	12	10	1,2	12	12	0,0004296735	6,96756074085746E-06	0,0002535467	0,0274803851	1	1	1	11	88	0	0	0	0	0	1	0,0833333333	1	0,0833333333	1	0,0833333333	1	1	1	1	0	1	1	1	0	0	2387	4	1	128	38064	37719	8745	1480	38064	12110	2044	477	2030	56071	0,0393889348	0,0362040984	72	1	f	72	836544.4	1:2:3	name@3	nation@3	https://en.wikipedia.org/wiki/Marlies_G%C3%B6hr :Q161821	P1532 :country for sport@en	https://en.wikipedia.org/wiki/East_Germany :Q16957
0	2	10	5	2	17	-1	1	6	6	1	1	6	0,1666666667	6	6	0,0034896558	0,0212308128	0,0162061679	1,3100452188	1	1	1	0	11	0	0	0,1333333333	0	0,1333333333	5	0,5	5	0,8333333333	5	0,8333333333	1	1	1	1	0	3	-1	1	0	0	104	32274	5	1	1540	1658	264	1193	1643	1547	426	420	416	4627	0,2714932127	0,0899070672	372	1	f	372	568763.2	4:-1:1	protag_article@3	titl@3	https://en.wikipedia.org/wiki/Hangin%27_Tough :Q4451224	P361-1 :part of@en	https://en.wikipedia.org/wiki/Cover_Girl_(New_Kids_on_the_Block_song) :Q5179158
0	1	10	4	2,5	28	1	2	9	9	1	9	5	1,8	9	9	0,0071338212	0,0006410811	0,0133908223	0,0478746636	1	1	1	155	10	0	0	0	0,2222222222	0,2222222222	9	0,9	9	1	9	1	0	1	1	1	11	0	1	1	0	0	1966	32	1	35	40446	39346	3375	473	40451	5708	29133	2954	28260	45811	0,5175192712	0,6168824082	36	1	f	36	242469.1	6:1:2	rider@3	team@3	https://en.wikipedia.org/wiki/Nikki_Harris :Q2053675	P54 :member of sports team@en	https://en.wikipedia.org/wiki/Boels%E2%80%93Dolmans :Q2651858
0	1	44	6	7,3333333333	119	3	0	23	23	1	16	23	0,6956521739	23	23	0,0009934781	0,0045668757	0,0026388426	1,7306358457	1	1	1	10	17	0	1	1	0	1	23	0,5227272727	23	1	23	1	1	1	1	1	0	0	1	1	0	0	41	675	13	1	3357	3296	1571	2852	3354	2910	3160	2729	2636	4693	0,9378006873	0,5616876199	1925	1	f	1925	369532.1	33:3:0	director@3	titl@3	https://en.wikipedia.org/wiki/Samuthirakani :Q7413131	P57-1 :director@en	https://en.wikipedia.org/wiki/Yaare_Koogadali :Q8046329
0	2	20	9	2,2222222222	83	1	2	15	15	1	2	2	1	15	2	0,0006539023	3,47504361714866E-05	0,0004173836	0,0832577823	1	1	1	9	9	0	0	0	0,3333333333	0,3333333333	12	0,6	12	0,8	1	0,5	1	1	1	1	0	0	1	1	1	1	6005	10	1	30	4090	4090	315	123	4088	512	2004	189	2004	6275	0,369140625	0,3193625498	323	1	f	323	127711.2	5:1:2	club_perform**club@3	club_perform**leagu@3	https://en.wikipedia.org/wiki/Real_Madrid_CF :Q8682	P118 :league@en	https://en.wikipedia.org/wiki/La_Liga :Q324867
0	6	51	4	12,75	102	2	1	26	23	1,1304347826	9	7	1,2857142857	26	9	0,0011855337	0,0060814137	0,0034563608	1,7594846295	1	1	1	9	11	0	0	0	0	0	22	0,431372549	25	0,9615384615	8	0,8888888889	0	1	1	1	0	3	1	1	1	1	56	621	141	1	9788	9041	1627	2752	9923	3079	8080	2520	7091	15360	0,8184475479	0,4616536458	761	1	f	761	855603.6	25:2:1	artist@3	song@3	https://en.wikipedia.org/wiki/Mariah_Carey :Q41076	P175-1 :performer@en	https://en.wikipedia.org/wiki/We_Belong_Together_(Mariah_Carey_song) :Q129158
0	1	28	5	5,6	27	-1	1	27	27	1	1	27	0,037037037	27	27	0,0008120812	0,0022243774	0,0015381007	1,4461844651	1	1	1	0	16	0	1	0	0	0	18	0,6428571429	18	0,6666666667	18	0,6666666667	1	1	1	1	0	0	-1	1	0	0	26	275	26	1	213	213	31	207	213	211	59	59	37	295	0,2796208531	0,1254237288	6985	1	f	6985	171532.1	3:-1:1	protag_article@3	film@3	https://en.wikipedia.org/wiki/David_S._Goyer :Q352010	P58-1 :screenwriter@en	https://en.wikipedia.org/wiki/Demonic_Toys :Q1419378
0	2	14	11	1,2727272727	170	3	1	13	13	1	13	4	3,25	13	13	0,0055794217	5,46047080004503E-06	0,0031061523	0,0017579533	1	1	1	10	10	0	0	0	0	0	13	0,9285714286	13	1	13	1	0	1	1	1	0	0	1	1	0	0	58817	6	1	58817	510	510	482	4	510	485	417	395	417	544	0,8144329897	0,7665441176	4764	1	f	4764	832252.2	2:3:1	name@3	p@3	https://en.wikipedia.org/wiki/Alex_Rae_(footballer_born_1969) :Q632920	P413 :position played on team / speciality@en	https://en.wikipedia.org/wiki/Centre_midfielder :Q193592
0	19	216	4	54	1429	0	1	215	233	0,9227467811	60	93	0,6451612903	231	92	0,0015515819	0,0013308478	0,000851445	1,5630460873	1	1	1	86	9	0	0	0	0	0	164	0,7592592593	164	0,70995671	54	0,5869565217	0	1	1	1	1	0	1	1	0	0	40	9	1	13	3219	3651	186	589	3612	618	2428	169	89	3294	0,2734627832	0,0270188221	4426	1	f	4426	947217.19	115:0:1	countri@3	locat@3	https://en.wikipedia.org/wiki/United_Kingdom :Q145	P36 :capital@en	https://en.wikipedia.org/wiki/London :Q84
0	1	31	13	2,3846153846	46	-1	0	30	30	1	1	9	0,1111111111	30	9	0,0071338212	0,0006410811	0,0133908223	0,0478746636	1	1	1	0	9	0	0	0	0	0	30	0,9677419355	30	1	9	1	1	1	1	1	0	0	-1	1	0	1	1966	32	10	809	10179	10179	710	934	10179	4370	8899	3483	8899	11351	0,7970251716	0,78398379	314	1	f	314	815437.1	23:-1:0	protag_article@3	club**club@3	https://en.wikipedia.org/wiki/Bruno_N%27Gotty :Q708079	P54 :member of sports team@en	https://en.wikipedia.org/wiki/Bolton_Wanderers_FC :Q19451
